origen,destino,nombre_calle,distancia,direccion,factor_trafico
11583024564,410454699,Avenida Reforma,33.49,norte-este,1.0
11583042385,4010444728,Plaza España,95.87,norte-este,1.0
11583042405,479441026,Plaza España,12.77,sur-oeste,1.0
11583042405,323585956,"['7a Avenida', 'Plaza España']",170.87,norte-este,1.0
11653915796,603170113,Boulevard Liberación,167.56,norte-oeste,1.0
11658506367,957679548,Sin nombre,38.17,norte-oeste,1.0
11658600807,11658600808,Sin nombre,48.69,sur-oeste,1.0
11658600808,528177373,11 Calle,29.72,norte-oeste,1.0
11658600808,11658600807,Sin nombre,48.69,norte-este,1.0
11825678559,603170052,Calle Montúfar,7.93,sur-oeste,1.0
11825812432,631825286,Boulevard Liberación,24.36,norte-oeste,1.0
11839402225,11825812432,Boulevard Liberación,3.24,norte-oeste,1.0
11867040946,528216862,15 Avenida A,13.46,norte-este,1.0
11867040947,323102405,Avenida Las Américas,10.74,sur-oeste,1.0
11867040947,11867040948,Sin nombre,34.89,sur-oeste,1.0
11867040948,3820014869,Sin nombre,23.55,sur-oeste,1.0
11867040948,413315361,Sin nombre,156.46,norte-este,1.0
12079442907,990336857,7a Avenida,147.86,norte-este,1.0
12079442910,481805122,7a Avenida,154.21,norte-este,1.0
12092704997,528176351,11 Calle,31.05,sur-este,1.0
12092704997,12092704999,Avenida Hincapié,37.38,norte-este,1.0
12092704999,528178078,Avenida Hincapié,48.18,norte-oeste,1.0
12092704999,410448234,11 Calle,30.34,norte-oeste,1.0
12096939657,528223222,5a Calle,11.59,sur-este,1.0
12096939657,528223322,15 Avenida A,13.24,norte-este,1.0
12096939658,528223322,5a Calle,11.48,norte-oeste,1.0
12096939658,528223222,15 Avenida A,11.4,sur-oeste,1.0
